식별번호,성별,나이,우편번호,가입기간,대출건수,문의건수,보유계좌수,연체금액,대출금액,예금잔액,적금잔액
56586729,2,62,53015,11,3,9,3,0,247,43,264
82351459,2,35,52319,12,5,10,2,0,335,40,113
89060200,2,10,04534,10,3,5,5,0,33,20,30
21151877,1,51,41535,10,3,8,8,0,128,27,214
76275783,2,67,38186,11,3,8,1,0,33,28,265
56315627,2,55,04534,10,3,5,5,0,33,20,30
34674716,2,53,06627,11,3,8,1,0,595,115,293
33851109,1,39,06797,10,3,10,5,59,367,45,203
87812632,1,43,11922,10,3,6,11,0,33,125,135
10772216,2,52,35212,12,5,12,2,0,233,22,211
90967262,2,65,63331,13,4,9,1,0,222,66,204
56308223,1,61,26153,12,5,7,1,0,129,78,200
67038544,1,81,37925,10,3,5,6,0,33,20,30
84140371,1,86,15865,10,3,5,4,0,33,20,30
75813394,2,39,21334,13,5,10,1,0,434,30,175
63908071,2,62,28940,11,3,5,5,0,33,20,30
61750401,1,50,61171,12,5,9,1,0,369,116,210
50668837,1,47,01453,11,4,10,4,113,178,22,202
60558168,1,26,21973,9,2,8,1,0,247,59,85
57381836,1,42,26436,11,4,7,2,0,153,72,93
77148969,2,48,47735,13,5,8,1,0,125,23,269
45755633,1,39,15359,14,4,9,3,0,1494,26,211
90021650,1,49,51595,10,3,8,4,0,180,50,272
81325948,2,48,37249,11,3,8,1,65,154,180,207
65611754,1,59,21633,12,4,9,4,71,152,21,358
30119772,1,41,21415,9,2,7,1,0,225,74,191
79456555,2,37,02496,12,4,8,3,0,202,54,133
51247767,2,67,02611,10,3,5,3,0,33,20,30
29511344,1,41,15476,10,3,9,1,23,436,26,196
84848927,1,54,14914,9,2,6,1,0,33,82,92
95413461,2,42,27927,11,3,7,12,0,94,58,134
87159099,2,33,62050,15,8,12,1,0,200,21,117
50620193,1,36,34630,9,2,5,1,0,33,20,30
38460632,1,44,30130,10,3,6,1,0,33,30,40
14901118,2,35,06015,11,3,9,2,0,371,28,100
68956318,2,62,04513,11,4,9,1,0,95,53,364
45450170,1,36,08389,10,3,9,5,55,266,28,150
56328336,1,57,57238,10,3,7,6,0,33,24,140
79403100,2,48,35426,12,5,7,2,0,35,76,130
22725310,2,72,21329,10,3,5,6,65,33,20,30
58819556,2,42,31110,12,4,8,1,0,179,115,186
66771321,2,34,11028,12,5,9,3,0,158,51,145
21770453,1,66,62380,11,4,9,2,0,118,56,216
73296998,2,32,13809,10,3,5,5,55,33,20,30
81835417,2,60,41442,10,3,6,5,61,33,49,59
59826896,2,47,16971,11,4,6,4,0,33,253,263
63870834,2,47,61932,10,3,7,1,0,2762,113,191
27160218,2,51,16919,14,6,8,3,137,264,145,193
93683822,2,40,61041,11,4,10,3,0,225,71,203
62177128,1,32,10401,9,2,10,1,0,66,58,105
84467612,1,59,12222,10,3,10,1,0,160,50,227
85257406,1,57,34337,11,4,7,3,77,134,174,244
67837931,2,67,07370,10,3,6,6,0,33,71,81
52079964,2,69,41076,11,3,7,2,83,33,35,45
70642613,2,49,11129,11,4,5,2,0,33,20,30
82591869,1,58,13148,12,5,8,3,67,99,136,246
82389095,2,50,14057,10,3,6,4,0,33,27,37
30879496,2,49,31163,11,4,6,2,0,33,178,188
92545552,2,63,42633,10,3,6,2,0,33,64,74
18793934,1,48,21554,13,5,6,1,71,33,72,82
39744677,1,43,06656,11,3,7,1,29,65,21,264
42437156,2,57,02776,9,2,6,1,0,33,183,193
21583676,2,36,17061,10,3,7,1,0,104,72,121
77093432,2,54,57056,11,3,5,1,0,33,20,30
99076288,2,59,57164,10,3,8,4,0,39,53,202
11316686,2,59,33670,10,3,8,5,55,33,56,218
82532478,2,31,25786,10,3,6,1,0,33,76,86
92243512,2,70,03178,10,3,8,1,23,69,21,112
40652360,1,57,52849,14,5,10,2,0,278,88,262
23587978,1,27,27831,12,5,7,3,0,33,76,96
33402175,2,35,11117,9,2,8,1,0,125,59,109
84946333,2,32,16311,14,5,8,1,41,283,41,73
59405722,2,41,36823,10,3,11,9,0,190,32,219
44243337,2,56,47012,13,4,10,1,0,339,25,136
18536606,1,38,10495,14,5,6,1,0,33,138,148
86579787,2,44,06141,13,6,9,1,161,317,31,220
44109769,2,35,17607,12,5,7,1,79,113,76,115
87188108,2,38,59736,9,2,6,1,0,33,182,192
44445894,1,45,16875,12,5,10,3,0,544,83,289
57571112,2,64,49241,10,3,9,1,23,442,75,283
13301945,2,50,57817,13,5,8,1,55,134,28,193
84820456,2,49,41560,11,4,6,2,0,33,200,210
32145191,1,34,16525,11,4,10,2,0,214,53,89
71459191,2,37,11179,13,6,6,1,0,33,119,129
87057978,2,30,12234,14,6,9,1,0,289,37,126
46027555,2,47,15541,14,7,7,1,0,38,199,282
25840501,1,45,41911,10,3,8,1,91,229,131,233
68330621,2,66,06727,11,4,8,1,0,354,107,185
30412302,2,47,41590,12,5,6,5,113,33,283,293
21178749,2,54,24826,13,5,10,3,0,148,46,315
44439307,1,47,54968,10,3,6,5,0,33,133,143
29851719,2,61,58026,15,7,11,1,0,283,94,241
45941337,2,48,61674,12,4,8,1,0,113,24,215
87465875,1,48,13992,9,2,6,1,0,33,33,43
22465542,1,64,17061,10,3,7,3,37,42,58,191
25264081,2,41,05510,13,4,10,1,79,193,37,212
60719673,2,79,10909,11,3,5,1,0,33,20,30
34634539,1,58,17373,10,3,8,3,0,96,53,100
23784388,1,50,61074,11,3,7,1,0,125,104,212
76015280,1,52,14910,11,4,8,2,0,66,51,224
16932205,2,32,14054,11,4,7,2,37,140,37,71
87809209,2,44,03632,13,5,9,2,25,164,25,68
76297225,1,32,16537,20,4,7,1,0,42,63,92
63501767,2,60,51679,10,3,8,7,83,103,94,245
99884028,2,40,05719,11,4,7,2,109,108,29,180
81355594,2,45,13595,11,3,8,3,0,194,67,191
21209674,1,55,48037,14,5,10,1,0,1211,56,224
78674470,2,27,05555,9,2,5,1,0,33,20,30
80134087,2,51,52046,12,3,7,1,0,33,86,192
19537815,2,44,14598,13,4,9,2,0,251,23,195
92228750,2,57,12418,14,7,10,1,91,269,59,227
90693732,2,56,61171,11,4,6,7,0,33,109,119
96598033,2,42,44675,10,3,9,3,0,131,66,160
97790109,1,39,31172,12,3,6,3,0,33,182,192
70999382,2,30,14072,11,3,7,1,0,462,22,47
23318072,2,74,17936,11,3,7,6,0,33,59,303
94994918,2,44,05554,10,3,8,6,67,130,33,215
61246415,2,72,59629,10,3,6,4,0,33,148,158
70109869,2,40,06190,13,4,7,1,0,38,174,210
38596181,2,52,31945,11,3,7,5,0,33,63,282
86797044,2,38,51744,10,3,6,1,23,33,116,126
64464812,2,57,05076,15,6,8,1,161,124,65,251
87975621,2,54,14116,13,5,8,1,0,257,114,228
88437786,1,44,50527,11,4,11,5,71,95,23,269
69201546,2,49,51329,10,3,10,1,0,261,23,303
83674970,2,56,04607,12,5,7,3,71,33,80,282
68995557,2,42,18302,10,3,10,3,41,447,35,227
64670239,2,40,16467,10,3,9,2,29,197,55,243
13678593,2,45,50818,12,5,12,2,0,1106,28,130
36201410,2,49,11346,12,5,6,1,0,33,59,69
46055821,2,40,58863,14,6,7,1,53,68,29,105
80296734,2,62,24346,17,10,10,1,0,329,84,256
99157413,2,43,12238,10,3,11,9,0,327,32,259
89466652,2,53,03306,15,4,8,1,0,184,47,98
70050453,2,42,04534,10,3,5,3,0,33,20,30
87936387,2,40,07301,11,4,8,2,0,173,47,194
87080193,2,51,27927,14,6,9,1,53,37,40,171
77558471,1,35,12055,10,3,6,4,0,33,24,34
35766209,2,31,17936,11,4,8,2,0,133,44,75
36316478,2,35,42212,12,4,10,2,0,378,93,154
21748417,2,35,11028,16,7,8,1,31,228,78,133
80393132,1,40,08864,12,4,10,5,0,408,30,196
88614470,1,30,14072,10,3,8,2,0,155,58,103
21396844,2,30,34172,11,3,7,2,0,266,69,96
47267864,1,31,16456,10,3,9,4,0,293,38,119
49649517,2,45,41855,15,5,7,2,0,59,28,104
52989982,1,49,52710,10,3,11,2,29,336,24,218
88727122,2,43,53252,10,3,11,1,0,468,29,85
39930609,1,57,13597,12,5,9,4,125,91,41,188
70703629,1,23,02238,9,2,5,1,0,33,20,30
26493194,2,56,51797,17,9,13,1,197,282,24,277
41864258,2,48,10824,14,5,8,1,0,341,52,101
91370433,1,39,13591,12,5,8,1,0,276,114,214
40932300,2,47,12799,17,7,9,1,0,313,48,203
61287556,2,61,21994,11,4,8,1,115,66,132,307
22669312,2,33,02067,10,3,7,2,0,287,33,114
13427518,2,55,06502,12,4,9,1,0,298,78,298
32829666,2,57,22173,10,3,8,10,107,116,47,117
32890355,2,50,18398,13,5,10,1,0,353,30,309
35323523,2,38,14247,10,3,9,2,0,206,22,42
40648781,1,33,06544,11,4,10,2,0,167,21,105
89002458,1,44,41423,11,4,9,1,0,134,21,87
66523842,2,28,04534,13,6,6,2,0,33,51,61
27400974,1,42,03345,16,7,8,1,77,1003,34,208
88847195,1,35,41084,14,6,11,1,0,362,34,166
85885100,2,55,62355,13,5,7,1,47,66,44,218
70582454,1,33,04781,11,3,9,3,0,123,96,146
54830011,1,32,42690,10,3,10,2,0,296,25,87
41552999,2,60,54505,10,3,7,1,71,33,39,109
85262156,2,54,58255,15,5,13,2,0,234,33,298
69947636,2,55,57967,13,6,11,2,83,76,41,350
97025976,1,51,13595,11,3,8,4,0,81,61,135
52164668,2,59,51632,12,5,9,1,85,118,24,124
50381415,2,39,63591,12,4,9,3,61,230,35,209
40070928,2,40,38144,13,5,10,2,0,54,41,162
14475499,2,53,31486,18,9,13,1,85,2223,23,362
34064998,2,39,42062,11,3,8,1,65,143,83,178
87454850,2,49,44452,11,4,7,1,0,58,122,163
11931605,1,62,03130,10,3,9,2,0,123,71,215
83215901,2,61,41157,10,3,7,3,37,49,45,98
99348242,2,70,15066,11,4,8,6,0,54,22,292
31251393,1,45,12758,18,9,10,1,0,491,35,206
55857726,1,39,06797,11,4,7,1,0,258,94,181
39566883,2,57,17774,13,6,8,1,0,77,21,279
80745889,2,36,22777,10,3,7,6,0,104,32,87
96411590,2,45,51236,11,4,9,8,0,559,24,264
31164468,1,64,26232,10,3,6,5,55,33,252,262
85225839,2,40,06596,11,4,7,8,0,130,149,210
38985095,1,48,07679,10,3,6,4,0,33,108,118
47674678,1,54,26331,17,9,10,1,67,1296,25,332
37645758,2,30,36865,9,2,8,1,0,115,57,67
55881431,2,67,12138,11,3,8,1,0,48,71,182
59015040,2,64,28399,13,4,8,1,0,69,84,288
21903194,2,44,51007,9,2,7,1,0,33,58,150
11301904,2,66,37456,10,3,6,3,0,33,108,118
11520125,1,55,13516,11,3,12,1,23,467,31,247
99886648,1,43,27832,11,4,8,1,0,143,81,117
81531720,1,39,22161,9,2,8,1,0,75,37,222
19645161,2,48,21312,21,12,9,2,0,321,60,236
57091159,2,39,03306,10,3,8,8,0,322,51,207
60405999,1,53,41593,12,5,8,1,0,92,43,204
65856165,2,45,13992,11,4,7,1,0,167,21,253
25056272,2,30,31513,10,3,6,2,0,33,26,36
45910830,1,46,57541,11,4,6,3,41,33,41,51
12678394,2,33,54836,11,4,8,1,0,146,27,62
57761842,2,37,06103,11,4,7,2,35,291,32,121
47030598,2,39,02024,12,4,8,1,53,108,21,195
10906137,2,41,42713,11,4,7,2,0,144,27,108
71613655,2,42,22144,10,3,11,9,0,258,52,199
30437736,2,44,39523,17,7,7,2,0,78,63,77
10761588,1,42,50916,16,7,10,1,0,311,60,263
84349106,1,30,06152,11,4,9,1,85,179,24,78
64775628,2,37,38654,12,5,10,1,103,135,38,157
88112024,1,46,22519,10,3,7,2,0,43,32,86
79654037,2,34,22371,10,3,6,2,0,33,42,52
17840680,2,70,05507,10,3,8,5,0,136,98,391
70251779,1,40,06019,17,9,12,1,0,392,73,212
70700449,2,52,42433,14,6,10,1,0,361,94,240
29700186,2,47,26415,11,3,7,4,0,83,34,65
78239736,1,50,50022,10,3,6,9,95,33,63,73
24718701,2,37,06572,15,6,7,2,121,48,37,131
73244844,2,22,21021,12,4,5,2,49,33,20,30
60946030,2,75,05717,11,4,6,1,181,33,140,150
40021249,2,44,04370,10,3,11,1,0,257,38,283
96744092,1,32,31981,14,7,10,1,85,192,70,105
86621501,2,38,34435,10,3,7,3,41,59,61,98
35364733,2,60,04158,11,3,8,1,0,56,118,284
58682570,2,33,41941,10,3,6,2,0,33,53,63
74475876,2,57,24619,11,4,7,1,0,69,114,172
34015488,2,53,06168,17,10,9,1,85,225,25,191
10230201,2,64,41433,13,3,6,1,0,33,198,208
77697851,2,53,51698,11,4,6,3,47,123,139,149
20124153,1,37,32255,10,3,9,1,0,111,91,132
38071291,2,45,39314,10,3,11,1,23,69,24,154
88444241,2,55,10845,10,3,10,5,0,324,31,264
14814947,1,42,48037,10,3,10,4,0,249,65,100
80042811,1,40,42654,10,3,12,2,29,85,33,257
19597585,1,54,04620,13,5,9,4,101,246,50,339
64156316,2,63,42443,10,3,6,11,0,33,267,277
51685257,2,43,36953,11,4,8,2,0,79,47,247
97956869,2,70,23037,13,3,5,1,143,33,20,30
85358716,1,32,03345,13,6,9,1,0,357,65,133
59908917,1,71,48413,11,4,7,1,0,79,24,129
38668022,2,42,14998,10,3,7,3,0,144,138,238
43906459,2,52,04424,11,4,7,1,241,45,92,237
86698617,2,54,03739,11,3,8,2,0,142,45,369
10197849,2,56,47330,9,2,9,1,0,258,34,208
32721337,2,69,42454,10,3,10,2,0,78,23,256
32742154,2,45,17959,11,4,8,2,0,175,36,164
46852018,2,25,07301,10,3,5,2,0,33,20,30
23922545,1,52,07639,10,3,8,3,35,194,61,215
54359820,2,37,52810,9,2,7,1,0,123,48,68
62651763,2,55,03905,11,4,8,1,0,170,287,301
83715287,2,33,41713,10,3,9,4,47,100,33,108
69452006,2,62,28545,11,4,8,2,0,42,25,169
29114564,2,40,03082,12,5,7,1,0,46,81,196
84298700,1,48,06019,13,5,9,1,0,62,62,125
29521847,2,57,10325,10,3,8,1,23,169,34,106
98179275,2,73,36339,11,3,5,6,0,33,20,30
29586395,1,56,63621,9,2,5,1,0,33,20,30
26915337,2,49,13597,12,3,8,5,0,68,31,190
58554072,2,69,11419,12,3,6,2,0,33,56,66
81482739,1,58,08708,14,5,8,2,0,72,53,304
94332029,1,57,03162,10,3,9,6,0,271,24,219
22921667,2,49,42115,12,4,10,1,0,181,24,82
21267839,2,51,04534,18,9,14,1,77,671,77,310
25973367,2,40,13466,12,5,8,3,73,281,95,184
19424893,1,52,51154,10,3,9,1,0,152,25,232
